Date,Day,Time Slot,Course Code,Course Title
12-Apr-2025,Saturday,09:00 - 10:00,MG4524,Applications of Business Analytics
12-Apr-2025,Saturday,10:30 - 11:30,SS2018,Sociology
12-Apr-2025,Saturday,14:00 - 15:00,SE2002,Software Design and Architecture
12-Apr-2025,Saturday,17:00 - 18:00,CS3016,Cyber Security Tools and Technologies
12-Apr-2025,Saturday,18:30 - 19:30,MT1006,Differential Equations
12-Apr-2025,Saturday,09:00 - 10:00,CS4039,Software for Mobile Devices
12-Apr-2025,Saturday,10:30 - 11:30,MG5102,Project Management
12-Apr-2025,Saturday,14:00 - 15:00,CS2013,Introduction to Database Systems
12-Apr-2025,Saturday,17:00 - 18:00,MG5015,Strategic HR and Leadership
12-Apr-2025,Saturday,18:30 - 19:30,SS2008,Business Communication–I
12-Apr-2025,Saturday,09:00 - 10:00,SS2043,Civics and Community Engagement
12-Apr-2025,Saturday,14:00 - 15:00,MG2002,Engineering Economics
12-Apr-2025,Saturday,17:00 - 18:00,BA5004,Machine Learning Models for Business Analytics
12-Apr-2025,Saturday,09:00 - 10:00,MG4047,Hazards and Disaster Management
12-Apr-2025,Saturday,17:00 - 18:00,MG4002,Communication for Managers
12-Apr-2025,Saturday,09:00 - 10:00,MG4012,Quantitative Methods
