,title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,lectures
39,Parallel and Distributed Computing,CS3009,BCS-6E,Dr. Muhammad Irteza,3.0,BS,CS,CS,Core,False,"[{'room': 'F-209', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-209', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

40,Digital Logic Design,EE1005,BCS-2B,Dr. Sobia Tariq,3.0,BS,CS,CS,Core,False,"[{'room': 'F-209', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-209', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

41,Design and Analysis of Algorithms,CS2009,BSE-6B,Dr. Aasim Qureshi,3.0,BS,SE,CS,Core,False,"[{'room': 'F-209', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-209', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

42,Software Engineering,CS3006,BCS-6F,Ms. Mehroze Khan,3.0,BS,CS,CS,Core,False,"[{'room': 'F-209', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-209', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

43,Professional Practices in IT,CS4091,BSE-8A,,3.0,BS,SE,CS,Core,True,"[{'room': 'F-209', 'day': 'Monday', 'start_time': '16:00', 'end_time': '17:20'}, {'room': 'F-209', 'day': 'Wednesday', 'start_time': '16:00', 'end_time': '17:20'}]"

44,Object Oriented Programming,CS1004,BCS-2A,Dr. Saira Karim,3.0,BS,CS,CS,Core,False,"[{'room': 'F-210', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-205', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

45,Compiler Construction,CS4031,BCS-6J,Mr. Aamir Raheem,3.0,BS,CS,CS,Core,False,"[{'room': 'F-210', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-301', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

46,Object Oriented Programming,CS1004,BCS-2B,Dr. Saira Karim,3.0,BS,CS,CS,Core,False,"[{'room': 'F-210', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-210', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

47,Compiler Construction,CS4031,BCS-6K,Mr. Aamir Raheem,3.0,BS,CS,CS,Core,False,"[{'room': 'F-210', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-210', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

48,Artificial Intelligence,AI2002,BDS-6A,Dr. Asma Ahmad,3.0,BS,DS,DS,Core,False,"[{'room': 'F-301', 'day': 'Monday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-301', 'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50'}]"

49,Operating Systems,CS2006,BCS-4A,Dr. Rana Asif Rehman,3.0,BS,CS,CS,Core,False,"[{'room': 'F-301', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-301', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

50,Software Engineering,CS3006,BCS-6K,,3.0,BS,CS,CS,Core,False,"[{'room': 'F-301', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'C-5', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

51,Operating Systems,CS2006,BCS-4B,Dr. Rana Asif Rehman,3.0,BS,CS,CS,Core,False,"[{'room': 'F-301', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-301', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

52,Programming Fundamentals,CS1002,BDS-2A,,3.0,BS,DS,DS,Core,True,"[{'room': 'F-301', 'day': 'Monday', 'start_time': '16:00', 'end_time': '17:20'}, {'room': 'F-301', 'day': 'Wednesday', 'start_time': '16:00', 'end_time': '17:20'}]"

53,Object Oriented Programming,CS1004,BSE-2A,Ms. Anosha Khan,3.0,BS,SE,SE,Core,False,"[{'room': 'F-302', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-302', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

54,Object Oriented Programming,CS1004,BSE-2B,Ms. Anosha Khan,3.0,BS,SE,SE,Core,False,"[{'room': 'F-302', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-302', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

55,Compiler Construction,CS4031,BCS-6H,Mr. Hamad ul Qudous,3.0,BS,CS,CS,Core,False,"[{'room': 'F-302', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-302', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

56,Compiler Construction,CS4031,BCS-6G,Mr. Hamad ul Qudous,3.0,BS,CS,CS,Core,False,"[{'room': 'F-302', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-302', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

57,Artificial Intelligence,AI2002,BCS-6H,Ms. Maham Naeem,3.0,BS,CS,CS,Core,False,"[{'room': 'F-302', 'day': 'Monday', 'start_time': '16:00', 'end_time': '17:20'}, {'room': 'F-302', 'day': 'Wednesday', 'start_time': '16:00', 'end_time': '17:20'}]"

58,Bioinformatics,CS4049,BCS-8B,Ms. Rushda Muneer,3.0,BS,CS,CS,Elective,False,"[{'room': 'F-303', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-303', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

59,Parallel and Distributed Computing,CS3009,BDS-6B,Mr. Danyal Farhat,3.0,BS,DS,DS,Core,False,"[{'room': 'F-303', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-303', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

60,Parallel and Distributed Computing,CS3009,BDS-6A,Mr. Danyal Farhat,3.0,BS,DS,DS,Core,False,"[{'room': 'F-303', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-303', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

61,Intro to Cloud Computing,CS4049,BDS-8A,Mr. Ali Khawaja,3.0,BS,DS,DS,Elective,False,"[{'room': 'F-304', 'day': 'Monday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-304', 'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50'}]"

62,Parallel and Distributed Computing,CS3009,BCS-6H,Ms. Saba Tariq,3.0,BS,CS,CS,Core,False,"[{'room': 'F-304', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-304', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

63,Object Oriented Programming,CS1004,BCS-2C,Mr. Usama Alvi,3.0,BS,CS,CS,Core,False,"[{'room': 'F-304', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-210', 'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50'}]"

64,Artificial Intelligence,AI2002,BCS-6F,Ms. Maham Naeem,3.0,BS,CS,CS,Core,False,"[{'room': 'F-305', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-305', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

65,Artificial Intelligence,AI2002,BCS-6G,Ms. Maham Naeem,3.0,BS,CS,CS,Core,False,"[{'room': 'F-305', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-305', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

66,Object Oriented Programming,CS1004,BCS-2K,Mr. Usman Anwar,3.0,BS,CS,CS,Core,False,"[{'room': 'F-305', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-305', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

67,Operating Systems,CS2006,BCS-4J,Ms. Namra Absar,3.0,BS,CS,CS,Core,False,"[{'room': 'F-306', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-306', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

68,Operating Systems,CS2006,BCS-4K,Ms. Namra Absar,3.0,BS,CS,CS,Core,False,"[{'room': 'F-306', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-306', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

69,Data Structures,CS2001,BCS-4A,Mr. Waqas Ali,3.0,BS,CS,CS,Core,True,"[{'room': 'F-306', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-306', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

70,Advanced Statistics,DS2003,BDS-4C,Dr. Ahmad Raza,3.0,BS,DS,DS,Core,False,"[{'room': 'F-307', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-307', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

71,Operating Systems,CS2006,BCS-4G,Ms. Rubab Anam,3.0,BS,CS,CS,Core,False,"[{'room': 'F-307', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-307', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

72,Operating Systems,CS2006,BCS-4F,Ms. Rubab Anam,3.0,BS,CS,CS,Core,False,"[{'room': 'F-307', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-307', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

73,Artificial Intelligence,AI2002,BCS-6B,Mr. Mubashir,3.0,BS,CS,CS,Core,False,"[{'room': 'F-308', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-308', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

74,Artificial Intelligence,AI2002,BCS-6A,Ms. Bushra Rashid,3.0,BS,CS,CS,Core,False,"[{'room': 'F-308', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-308', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

75,Theory of Automata,CS3005,BCS-6A,Dr. Tahir Ejaz,3.0,BS,CS,CS,Core,True,"[{'room': 'F-308', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-308', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

76,Web Engineering,SE3003,BSE-6A,Mr. Ayaz Gilani,3.0,BS,SE,SE,Core,False,"[{'room': 'F-309', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-309', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

77,Web Engineering,SE3003,BSE-6B,Mr. Ayaz Gilani,3.0,BS,SE,SE,Core,False,"[{'room': 'F-309', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-309', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

78,Artificial Intelligence,AI2002,BCS-6E,Mr. Sajid Kazmi,3.0,BS,CS,CS,Core,False,"[{'room': 'F-309', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-309', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

79,Artificial Intelligence,AI2002,BCS-6D,Mr. Sajid Kazmi,3.0,BS,CS,CS,Core,False,"[{'room': 'F-309', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-309', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

80,Digital Logic Design,EE1005,BCS-2J,Ms. Maimoona Akram,3.0,BS,CS,CS,Core,False,"[{'room': 'F-310', 'day': 'Monday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-310', 'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50'}]"

81,Web Programming,CS4032,BCS-8B,,3.0,BS,CS,CS,Elective,False,"[{'room': 'F-310', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-310', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

82,Data Science,CS4064,BCS-8A,Mr. Saiful Islam,3.0,BS,CS,CS,Elective,False,"[{'room': 'F-310', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-310', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

83,Parallel and Distributed Computing,CS3009,BCS-6K,,3.0,BS,CS,CS,Core,False,"[{'room': 'F-310', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-310', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

84,Digital Logic Design,EE1005,BCS-2G,Ms. Maimoona Akram,3.0,BS,CS,CS,Core,False,"[{'room': 'F-310', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-310', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

85,Web Programming,CS4032,BDS-8B,,3.0,BS,DS,DS,Elective,False,"[{'room': 'F-311', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-311', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

86,Data Science,CS4064,BSE-8A,Mr. Saiful Islam,3.0,BS,SE,SE,Elective,False,"[{'room': 'F-311', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-311', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

87,Applied Artificial Intelligence,AI4007,BSE-6A,Ms. Rushda Muneer,3.0,BS,SE,SE,Elective,False,"[{'room': 'F-311', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-311', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

88,Introduction to Coud Computing,CS4049,BCS-8A,Mr. Danyal Farhat,3.0,BS,CS,CS,Elective,False,"[{'room': 'F-312', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-312', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

89,Advanced Statistics,DS2003,BDS-4A,Dr. Ahmad Raza,3.0,BS,DS,DS,Core,False,"[{'room': 'F-312', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-306', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

90,Parallel and Distributed Computing,CS3009,BCS-6B,Dr. Abdul Qadeer,3.0,BS,CS,CS,Core,False,"[{'room': 'F-312', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-312', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

91,Digital Logic Design,EE1005,BCS-2F,Dr. Amjad Hussain,3.0,BS,CS,CS,Core,False,"[{'room': 'C-2', 'day': 'Monday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'C-2', 'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50'}]"

92,Advanced Operating Systems,CS5009,MCS-1A,Dr. Zeeshan Ali Khan,3.0,MS,CS,CS,Core,False,"[{'room': 'C-4', 'day': 'Monday', 'start_time': '08:30', 'end_time': '11:20'}]"

93,Database Systems,CS2005,BCS-4D,Ms. Hina Iqbal,3.0,BS,CS,CS,Core,False,"[{'room': 'C-5', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-203', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

94,Digital Logic Design,EE1005,BCS-2D,Mr. Umar Farooq,3.0,BS,CS,CS,Core,False,"[{'room': 'C-5', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'C-5', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

