id,title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,lectures
35,Calculus and Analytical Geometry,MT1003,BCS-1J,Dr. Muhammad Nasir,3,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'C-13'}, {'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'C-13'}]"
36,Functional English,SS1012,BCS-1A,Dr. Zahida Mansoor,2,BS,CS,HSS,Core,False,"[{'day': 'Wednesday', 'start_time': '10:30', 'end_time': '12:20', 'room': 'C-4'}]"
37,Functional English,SS1012,BCS-1B,Dr. Zahida Mansoor,2,BS,CS,HSS,Core,False,"[{'day': 'Wednesday', 'start_time': '12:30', 'end_time': '14:20', 'room': 'C-5'}]"
38,Functional English,SS1012,BCS-1C,Ms. Zakia (VF),2,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '10:30', 'end_time': '12:20', 'room': 'C-13'}]"
39,Functional English,SS1012,BCS-1D,Dr Sadia Rasheed,2,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '10:30', 'end_time': '12:20', 'room': 'C-7'}]"
40,Functional English,SS1012,BCS-1E,Dr Sadia Rasheed,2,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '10:30', 'end_time': '12:20', 'room': 'C-2'}]"
41,Functional English,SS1012,BCS-1F,Dr Kalssom,2,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '10:30', 'end_time': '12:20', 'room': 'C-14'}]"
42,Functional English,SS1012,BCS-1G,Dr Kalsoom,2,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '10:30', 'end_time': '12:20', 'room': 'C-3'}]"
43,Functional English,SS1012,BCS-1H,Dr Kalsoom,2,BS,CS,HSS,Core,False,"[{'day': 'Wednesday', 'start_time': '10:30', 'end_time': '12:20', 'room': 'D-5'}]"
44,Functional English,SS1012,BCS-1J,Dr Sadia Rasheed,2,BS,CS,HSS,Core,False,"[{'day': 'Thursday', 'start_time': '10:30', 'end_time': '12:20', 'room': 'C-3'}]"
45,Ideology and Constitution of Pakistan,SS1013,BCS-1A,VF,2,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '13:00', 'end_time': '14:50', 'room': 'C-13'}]"
46,Ideology and Constitution of Pakistan,SS1013,BCS-1B,Muhammad Tahir Rashid,2,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '15:00', 'end_time': '16:50', 'room': 'C-13'}]"
47,Ideology and Constitution of Pakistan,SS1013,BCS-1C,Dr.Abdul Sattar,2,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '08:30', 'end_time': '10:20', 'room': 'C-2'}]"
48,Ideology and Constitution of Pakistan,SS1013,BCS-1D,Dr.Abdul Sattar,2,BS,CS,HSS,Core,False,"[{'day': 'Thursday', 'start_time': '08:30', 'end_time': '10:20', 'room': 'C-3'}]"
49,Ideology and Constitution of Pakistan,SS1013,BCS-1E,Dr Muhammad Shamshad,2,BS,CS,HSS,Core,False,"[{'day': 'Wednesday', 'start_time': '14:30', 'end_time': '16:20', 'room': 'C-5'}]"
50,Pakistan Studies,SS1015,BCS-1A,Muhammad Asif,2,BS,CS,HSS,Core,False,"[{'day': 'Wednesday', 'start_time': '12:30', 'end_time': '14:20', 'room': 'C-4'}]"
51,Pakistan Studies,SS1015,BCS-1B,Muhammad Asif,2,BS,CS,HSS,Core,False,"[{'day': 'Wednesday', 'start_time': '14:30', 'end_time': '16:20', 'room': 'C-6'}]"
52,Pakistan Studies,SS1015,BCS-1C,Muhammad Ashraf,2,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '15:00', 'end_time': '16:50', 'room': 'C-7'}]"
53,Pakistan Studies,SS1015,BCS-1D,Ms Bushra Jabeen,2,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '15:00', 'end_time': '16:50', 'room': 'C-3'}]"
54,Pakistan Studies,SS1015,BCS-1E,Ms Bushra Jabeen,2,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '14:30', 'end_time': '16:20', 'room': 'C-5'}]"
